gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0,0.06944444444444445,1,0,0,0,0,1,0,0,1,0.5719980069755856,0.043924532656358185,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0.29166666666666663,1,0,1,0,1,1,0,0,1,0.4185351270553065,0.1430360027694438,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,0.7638888888888888,1,1,0,0,0,0,0,0,1,0.07374190333831585,0.15799676898222942,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0.2777777777777778,1,0,0,0,0,0,1,0,0,0.6033881415047334,0.18722594045695823,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0.021425012456402576,0.05354258019847681,0,0,0,1,0,1,0,0,1,0,0
1,0,1,1,0.2222222222222222,1,0,0,0,0,0,0,0,0,0.014947683109118065,0.03399492268636049,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.5216741405082211,0.005977382875605816,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0.4861111111111111,1,0,0,0,0,0,1,0,0,0.3662182361733931,0.22983498730671592,1,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0.9722222222222222,1,0,1,1,1,1,1,1,1,0.9093173891380171,0.8672801753981075,1,0,1,0,0,1,0,1,0,0,0
0,0,1,1,0.7916666666666666,1,0,1,1,0,0,0,0,0,0.35077229696063783,0.3501269328409878,0,1,0,0,0,1,0,0,0,1,0
1,1,1,0,0.8888888888888888,1,0,1,0,1,0,0,0,0,0.6183358246138515,0.5768405261943226,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0.9583333333333333,1,1,0,1,1,0,1,0,0,0.7722969606377679,0.7491864758827602,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,1.0,1,1,0,0,0,0,0,0,1,0.07972097658196312,0.22723863374105702,0,0,0,1,0,0,1,1,0,0,0
1,0,1,0,0.861111111111111,0,0,0,0,0,1,1,0,1,0.20677628300946685,0.2675571197784445,0,1,0,0,0,0,1,1,0,0,0
1,1,1,0,0.4305555555555555,1,1,1,0,0,0,1,0,0,0.709516691579472,0.32181513962612507,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0.1111111111111111,1,0,0,0,0,0,0,0,1,0.01594419531639263,0.014747288252942532,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0.09722222222222221,1,1,0,0,0,0,0,0,0,0.0523168908819133,0.017793676436648972,0,0,0,1,1,0,0,0,0,0,1
1,0,0,0,0.05555555555555555,1,1,1,0,0,0,0,0,1,0.6163428001993024,0.036620124624971155,0,0,1,0,1,0,0,0,0,1,0
1,1,1,0,0.125,1,0,0,0,0,0,0,0,1,0.029895366218236158,0.021434341103161784,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,0.986111111111111,1,0,0,1,1,1,1,1,1,0.6223218734429498,0.6561562427879067,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0.125,1,1,0,0,0,0,1,1,0,0.7588440458395617,0.0967516732056312,1,0,1,0,1,0,0,0,0,1,0
